config,d_true,d_kmer_observed,ratio,saturation_zone
"k=5,gap=gap2",0.02,0.0661,3.305,low
"k=5,gap=gap2",0.05,0.1521,3.042,low
"k=5,gap=gap2",0.1,0.2805,2.805,low
"k=5,gap=gap2",0.15,0.3781,2.521,low
"k=5,gap=gap2",0.2,0.4566,2.283,moderate
"k=5,gap=gap2",0.3,0.5644,1.881,moderate
"k=5,gap=gap2",0.4,0.6245,1.561,moderate
"k=5,gap=gap2",0.5,0.6480,1.296,high
"k=5,gap=gap2",0.7,0.6707,0.958,high
"k=5,gap=gap2",1.0,0.6770,0.677,high
"k=5,gap=gap2",1.5,0.6695,0.446,high
"k=6,gap=gap2",0.02,0.1018,5.090,low
"k=6,gap=gap2",0.05,0.2379,4.758,low
"k=6,gap=gap2",0.1,0.4222,4.222,low
"k=6,gap=gap2",0.15,0.5605,3.737,low
"k=6,gap=gap2",0.2,0.6613,3.306,moderate
"k=6,gap=gap2",0.3,0.7873,2.624,moderate
"k=6,gap=gap2",0.4,0.8493,2.123,moderate
"k=6,gap=gap2",0.5,0.8790,1.758,high
"k=6,gap=gap2",0.7,0.8908,1.273,high
"k=6,gap=gap2",1.0,0.8897,0.890,high
"k=6,gap=gap2",1.5,0.8935,0.596,high
"k=5,gap=gap1",0.02,0.0644,3.220,low
"k=5,gap=gap1",0.05,0.1530,3.060,low
"k=5,gap=gap1",0.1,0.2731,2.731,low
"k=5,gap=gap1",0.15,0.3670,2.447,low
"k=5,gap=gap1",0.2,0.4574,2.287,moderate
"k=5,gap=gap1",0.3,0.5664,1.888,moderate
"k=5,gap=gap1",0.4,0.6240,1.560,moderate
"k=5,gap=gap1",0.5,0.6535,1.307,high
"k=5,gap=gap1",0.7,0.6790,0.970,high
"k=5,gap=gap1",1.0,0.6742,0.674,high
"k=5,gap=gap1",1.5,0.6774,0.452,high
"k=7,gap=None",0.02,0.1306,6.530,low
"k=7,gap=None",0.05,0.2918,5.836,low
"k=7,gap=None",0.1,0.5106,5.106,low
"k=7,gap=None",0.15,0.6568,4.379,low
"k=7,gap=None",0.2,0.7704,3.852,moderate
"k=7,gap=None",0.3,0.8899,2.966,moderate
"k=7,gap=None",0.4,0.9439,2.360,moderate
"k=7,gap=None",0.5,0.9657,1.931,high
"k=7,gap=None",0.7,0.9697,1.385,high
"k=7,gap=None",1.0,0.9699,0.970,high
"k=7,gap=None",1.5,0.9711,0.647,high
